3748,1,1,3765
3748,2,1,3765
3748,3,1,3765
3748,4,1,3765
3748,5,1,3765
3748,6,1,3765
3748,7,1,3765
3748,8,1,3765
3748,9,1,3765
3748,10,1,3765
3748,11,1,3765
3748,15,1,3765
3748,16,1,3765
3748,17,1,3765
3748,18,1,3765
3748,19,1,3765
3748,20,1,3765
3748,21,1,3765
3748,22,1,3765
12977,4,1,3765
12977,5,1,3765
12977,18,1,3765
12977,6,1,3765
12977,19,1,3765
12977,8,1,3765
12977,7,1,3765
12977,20,1,3765
12977,21,1,3765
12977,22,1,3765
12977,3,1,3765
12977,9,1,3765
12977,15,1,3765
12977,1,1,12976
12977,11,1,12976
12977,16,1,12976
12977,2,1,12976
12977,10,1,12976
12977,17,1,12976
12979,4,1,3765
12979,5,1,3765
12979,18,1,3765
12979,6,1,3765
12979,19,1,3765
12979,8,1,3765
12979,7,1,3765
12979,20,1,3765
12979,21,1,3765
12979,22,1,3765
12979,3,1,3765
12979,9,1,3765
12979,15,1,3765
12979,1,1,12978
12979,11,1,12978
12979,16,1,12978
12979,2,1,12978
12979,10,1,12978
12979,17,1,12978
12981,4,1,3765
12981,5,1,3765
12981,18,1,3765
12981,6,1,3765
12981,19,1,3765
12981,8,1,3765
12981,7,1,3765
12981,20,1,3765
12981,21,1,3765
12981,22,1,3765
12981,3,1,3765
12981,9,1,3765
12981,15,1,3765
12981,1,1,12980
12981,11,1,12980
12981,16,1,12980
12981,2,1,12980
12981,10,1,12980
12981,17,1,12980
12983,4,1,3765
12983,5,1,3765
12983,18,1,3765
12983,6,1,3765
12983,19,1,3765
12983,8,1,3765
12983,7,1,3765
12983,20,1,3765
12983,21,1,3765
12983,22,1,3765
12983,3,1,3765
12983,9,1,3765
12983,15,1,3765
12983,1,1,12982
12983,11,1,12982
12983,16,1,12982
12983,2,1,12982
12983,10,1,12982
12983,17,1,12982
12985,4,1,3765
12985,5,1,3765
12985,18,1,3765
12985,6,1,3765
12985,19,1,3765
12985,8,1,3765
12985,7,1,3765
12985,20,1,3765
12985,21,1,3765
12985,22,1,3765
12985,3,1,3765
12985,9,1,3765
12985,15,1,3765
12985,1,1,12984
12985,11,1,12984
12985,16,1,12984
12985,2,1,12984
12985,10,1,12984
12985,17,1,12984
12987,4,1,3765
12987,5,1,3765
12987,18,1,3765
12987,6,1,3765
12987,19,1,3765
12987,8,1,3765
12987,7,1,3765
12987,20,1,3765
12987,21,1,3765
12987,22,1,3765
12987,3,1,3765
12987,9,1,3765
12987,15,1,3765
12987,1,1,12986
12987,11,1,12986
12987,16,1,12986
12987,2,1,12986
12987,10,1,12986
12987,17,1,12986
12989,4,1,3765
12989,5,1,3765
12989,18,1,3765
12989,6,1,3765
12989,19,1,3765
12989,8,1,3765
12989,7,1,3765
12989,20,1,3765
12989,21,1,3765
12989,22,1,3765
12989,3,1,3765
12989,9,1,3765
12989,15,1,3765
12989,1,1,12988
12989,11,1,12988
12989,16,1,12988
12989,2,1,12988
12989,10,1,12988
12989,17,1,12988
12991,4,1,3765
12991,5,1,3765
12991,18,1,3765
12991,6,1,3765
12991,19,1,3765
12991,8,1,3765
12991,7,1,3765
12991,20,1,3765
12991,21,1,3765
12991,22,1,3765
12991,3,1,3765
12991,9,1,3765
12991,15,1,3765
12991,1,1,12990
12991,11,1,12990
12991,16,1,12990
12991,2,1,12990
12991,10,1,12990
12991,17,1,12990
12993,4,1,3765
12993,5,1,3765
12993,18,1,3765
12993,6,1,3765
12993,19,1,3765
12993,8,1,3765
12993,7,1,3765
12993,20,1,3765
12993,21,1,3765
12993,22,1,3765
12993,3,1,3765
12993,9,1,3765
12993,15,1,3765
12993,1,1,12992
12993,11,1,12992
12993,16,1,12992
12993,2,1,12992
12993,10,1,12992
12993,17,1,12992
12995,4,1,3765
12995,5,1,3765
12995,18,1,3765
12995,6,1,3765
12995,19,1,3765
12995,8,1,3765
12995,7,1,3765
12995,20,1,3765
12995,21,1,3765
12995,22,1,3765
12995,3,1,3765
12995,9,1,3765
12995,15,1,3765
12995,1,1,12994
12995,11,1,12994
12995,16,1,12994
12995,2,1,12994
12995,10,1,12994
12995,17,1,12994
12997,4,1,3765
12997,5,1,3765
12997,18,1,3765
12997,6,1,3765
12997,19,1,3765
12997,8,1,3765
12997,7,1,3765
12997,20,1,3765
12997,21,1,3765
12997,22,1,3765
12997,3,1,3765
12997,9,1,3765
12997,15,1,3765
12997,1,1,12996
12997,11,1,12996
12997,16,1,12996
12997,2,1,12996
12997,10,1,12996
12997,17,1,12996
12999,4,1,3765
12999,5,1,3765
12999,18,1,3765
12999,6,1,3765
12999,19,1,3765
12999,8,1,3765
12999,7,1,3765
12999,20,1,3765
12999,21,1,3765
12999,22,1,3765
12999,3,1,3765
12999,9,1,3765
12999,15,1,3765
12999,1,1,12998
12999,11,1,12998
12999,16,1,12998
12999,2,1,12998
12999,10,1,12998
12999,17,1,12998
13001,4,1,3765
13001,5,1,3765
13001,18,1,3765
13001,6,1,3765
13001,19,1,3765
13001,8,1,3765
13001,7,1,3765
13001,20,1,3765
13001,21,1,3765
13001,22,1,3765
13001,3,1,3765
13001,9,1,3765
13001,15,1,3765
13001,1,1,13000
13001,11,1,13000
13001,16,1,13000
13001,2,1,13000
13001,10,1,13000
13001,17,1,13000
13003,4,1,3765
13003,5,1,3765
13003,18,1,3765
13003,6,1,3765
13003,19,1,3765
13003,8,1,3765
13003,7,1,3765
13003,20,1,3765
13003,21,1,3765
13003,22,1,3765
13003,3,1,3765
13003,9,1,3765
13003,15,1,3765
13003,1,1,13002
13003,11,1,13002
13003,16,1,13002
13003,2,1,13002
13003,10,1,13002
13003,17,1,13002
13005,4,1,3765
13005,5,1,3765
13005,18,1,3765
13005,6,1,3765
13005,19,1,3765
13005,8,1,3765
13005,7,1,3765
13005,20,1,3765
13005,21,1,3765
13005,22,1,3765
13005,3,1,3765
13005,9,1,3765
13005,15,1,3765
13005,1,1,13004
13005,11,1,13004
13005,16,1,13004
13005,2,1,13004
13005,10,1,13004
13005,17,1,13004
13007,4,1,3765
13007,5,1,3765
13007,18,1,3765
13007,6,1,3765
13007,19,1,3765
13007,8,1,3765
13007,7,1,3765
13007,20,1,3765
13007,21,1,3765
13007,22,1,3765
13007,3,1,3765
13007,9,1,3765
13007,15,1,3765
13007,1,1,13006
13007,11,1,13006
13007,16,1,13006
13007,2,1,13006
13007,10,1,13006
13007,17,1,13006
13009,4,1,3765
13009,5,1,3765
13009,18,1,3765
13009,6,1,3765
13009,19,1,3765
13009,8,1,3765
13009,7,1,3765
13009,20,1,3765
13009,21,1,3765
13009,22,1,3765
13009,3,1,3765
13009,9,1,3765
13009,15,1,3765
13009,1,1,12982
13009,11,1,12982
13009,16,1,12982
13009,2,1,13008
13009,10,1,13008
13009,17,1,13008
13011,4,1,3765
13011,5,1,3765
13011,18,1,3765
13011,6,1,3765
13011,19,1,3765
13011,8,1,3765
13011,7,1,3765
13011,20,1,3765
13011,21,1,3765
13011,22,1,3765
13011,3,1,3765
13011,9,1,3765
13011,15,1,3765
13011,1,1,13010
13011,11,1,13010
13011,16,1,13010
13011,2,1,13010
13011,10,1,13010
13011,17,1,13010
13013,4,1,3765
13013,5,1,3765
13013,18,1,3765
13013,6,1,3765
13013,19,1,3765
13013,8,1,3765
13013,7,1,3765
13013,20,1,3765
13013,21,1,3765
13013,22,1,3765
13013,3,1,3765
13013,9,1,3765
13013,15,1,3765
13013,1,1,13012
13013,11,1,13012
13013,16,1,13012
13013,2,1,13012
13013,10,1,13012
13013,17,1,13012
13015,4,1,3765
13015,5,1,3765
13015,18,1,3765
13015,6,1,3765
13015,19,1,3765
13015,8,1,3765
13015,7,1,3765
13015,20,1,3765
13015,21,1,3765
13015,22,1,3765
13015,3,1,3765
13015,9,1,3765
13015,15,1,3765
13015,1,1,13014
13015,11,1,13014
13015,16,1,13014
13015,2,1,13014
13015,10,1,13014
13015,17,1,13014
13017,4,1,3765
13017,5,1,3765
13017,18,1,3765
13017,6,1,3765
13017,19,1,3765
13017,8,1,3765
13017,7,1,3765
13017,20,1,3765
13017,21,1,3765
13017,22,1,3765
13017,3,1,3765
13017,9,1,3765
13017,15,1,3765
13017,1,1,13016
13017,11,1,13016
13017,16,1,13016
13017,2,1,13016
13017,10,1,13016
13017,17,1,13016
